CODICE VEICOLO;TARGA;BRAND;MODELLO;DESCRIZIONE MOD.;ALIMENTAZIONE;CAMBIO;COLORE ESTERNO;COLORE INTERNO;OPTIONAL;PREVISTA CONSEGNA;neopatentati
40767988;;TOYOTA;PROACE MAX;TOYOTA PROACE MAX 2.2D 140CV 35 L3H2 MT Furgone 4-door (Euro 6E) ;Diesel;MAN6;White Solid;Interni in tessuto nero;;13/03/2026;ND
40767993;;TOYOTA;PROACE MAX;TOYOTA PROACE MAX 2.2D 140CV 35 L3H2 MT Furgone 4-door (Euro 6E) ;Diesel;MAN6;White Solid;Interni in tessuto nero;;13/03/2026;ND
40768001;;TOYOTA;PROACE MAX;TOYOTA PROACE MAX 2.2D 140CV 35 L3H2 MT Furgone 4-door (Euro 6E) ;Diesel;MAN6;White Solid;Interni in tessuto nero;;13/03/2026;ND
40768727;HB388VC;VOLVO;XC60;VOLVO XC60 T6 Plug-in AWD auto Essential Sport utility vehicle 5-door (Euro 6E) ;Petrol Plug-In;AUT8;Vapour Grey metallizzato;Tessuto premium City Weave Antracite;Vetri oscurati delle porte posteriori e del bagagliaio;30/01/2026;NO
40769157;;AUDI;Q5;AUDI Q5 e-hybrid quattro 220kW S tronic Business Sport utility vehicle 5-door (Euro 6E) ;Petrol Plug-In;AUT7;Bianco Ghiaccio metallizzato;Pelle/similpelle nero (sedili normali);Colore carrozzeria metallizzato,Vetri oscurati per lunotto, cristalli delle portiere posteriori e laterali posteriori;22/05/2026;NO
40769354;HC864NK;PEUGEOT;308 SW;PEUGEOT 308 SW SW Style BlueHDi 130 EAT8 S&S SW 5-door (Euro 6E) ;Diesel;AUT8;Nero Perla metallizzato;Tessuto Renzo Baladin;Kit riparazione pneumatici,Tinte metallizzata;23/03/2026;SI
40769368;;PEUGEOT;308 SW;PEUGEOT 308 SW SW Style BlueHDi 130 EAT8 S&S SW 5-door (Euro 6E) ;Diesel;AUT8;Nero Perla metallizzato;Tessuto Renzo Baladin;Kit riparazione pneumatici,Tinte metallizzata;01/06/2026;SI
40769383;;PEUGEOT;308 SW;PEUGEOT 308 SW SW Style BlueHDi 130 EAT8 S&S SW 5-door (Euro 6E) ;Diesel;AUT8;Bianco Okenite metallizzato;Tessuto Renzo Baladin;Kit riparazione pneumatici,Tinte metallizzata;01/06/2026;SI
40769474;HB018JL;ALFA ROMEO;JUNIOR;ALFA ROMEO JUNIOR 1.2 145CV Hybrid eDCT6 ibrida Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Nero Tortona pastello;Tessuto ICONA nero e blu;Vernice pastello Nero Tortona;25/03/2026;SI
40769558;;JEEP;COMPASS;JEEP COMPASS 1.2 Turbo MHEV 106kW First Edition DCT Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Yosemite metallizzato;Interni in tessuto e vinile grigio e nero;Kit Fix & Go,Vernice metallizzata Yosemite;31/03/2026;SI
40769575;;JEEP;COMPASS;JEEP COMPASS 1.2 Turbo MHEV 106kW First Edition DCT Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Yosemite metallizzato;Interni in tessuto e vinile grigio e nero;Kit Fix & Go,Vernice metallizzata Yosemite;31/03/2026;SI
40769579;;JEEP;COMPASS;JEEP COMPASS 1.2 Turbo MHEV 106kW First Edition DCT Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Yosemite metallizzato;Interni in tessuto e vinile grigio e nero;Kit Fix & Go,Vernice metallizzata Yosemite;31/03/2026;SI
40779105;HC995NK;PEUGEOT;5008;PEUGEOT 5008 Hybrid 145 e-DCS6 Allure Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Grigio Titanio metallizzato;Tessuto in rilievo Crispy, TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit di emergenza pneumatico,Tinte metallizzate;02/03/2026;SI
40779111;HC003NL;PEUGEOT;5008;PEUGEOT 5008 Hybrid 145 e-DCS6 Allure Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Grigio Titanio metallizzato;Tessuto in rilievo Crispy, TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit di emergenza pneumatico,Tinte metallizzate;02/03/2026;SI
40779114;HC015NL;PEUGEOT;5008;PEUGEOT 5008 Hybrid 145 e-DCS6 Allure Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Grigio Titanio metallizzato;Tessuto in rilievo Crispy, TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit di emergenza pneumatico,Tinte metallizzate;02/03/2026;SI
40779118;HC006NL;PEUGEOT;5008;PEUGEOT 5008 Hybrid 145 e-DCS6 Allure Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Grigio Titanio metallizzato;Tessuto in rilievo Crispy, TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit di emergenza pneumatico,Tinte metallizzate;02/03/2026;SI
40779122;HC000NL;PEUGEOT;5008;PEUGEOT 5008 Hybrid 145 e-DCS6 Allure Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Grigio Titanio metallizzato;Tessuto in rilievo Crispy, TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit di emergenza pneumatico,Tinte metallizzate;02/03/2026;SI
40779131;;PEUGEOT;5008;PEUGEOT 5008 Hybrid 145 e-DCS6 Allure Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Grigio Titanio metallizzato;Tessuto in rilievo Crispy, TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit di emergenza pneumatico,Tinte metallizzate;01/06/2026;SI
40779148;;PEUGEOT;5008;PEUGEOT 5008 Hybrid 145 e-DCS6 Allure Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Bianco Okenite metallizzato;Tessuto in rilievo Crispy, TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit di emergenza pneumatico,Tinte metallizzate;01/06/2026;SI
40779149;;PEUGEOT;5008;PEUGEOT 5008 Hybrid 145 e-DCS6 Allure Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Bianco Okenite metallizzato;Tessuto in rilievo Crispy, TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit di emergenza pneumatico,Tinte metallizzate;01/06/2026;SI
40779159;;PEUGEOT;5008;PEUGEOT 5008 Hybrid 145 e-DCS6 Allure Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Nero Perla metallizzato;Tessuto in rilievo Crispy, TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit di emergenza pneumatico,Tinte metallizzate;01/06/2026;SI
40779166;;PEUGEOT;5008;PEUGEOT 5008 Hybrid 145 e-DCS6 Allure Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Nero Perla metallizzato;Tessuto in rilievo Crispy, TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit di emergenza pneumatico,Tinte metallizzate;01/06/2026;SI
40779172;;PEUGEOT;5008;PEUGEOT 5008 Hybrid 145 e-DCS6 Allure Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Nero Perla metallizzato;Tessuto in rilievo Crispy, TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit di emergenza pneumatico,Tinte metallizzate;01/06/2026;SI
40779192;;PEUGEOT;5008;PEUGEOT 5008 Hybrid 145 e-DCS6 Allure Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Nero Perla metallizzato;Tessuto in rilievo Crispy, TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit di emergenza pneumatico,Tinte metallizzate;01/06/2026;SI
40785458;;PEUGEOT;3008;PEUGEOT 3008 Hybrid 145 Allure e-DCS 6 Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Bianco Okenite (metallizzato);Tessuto in rilievo CRISPY/TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit riparazione pneumatici,Tinte metallizzate;16/04/2026;SI
40787569;HC611JY;RENAULT;AUSTRAL;RENAULT AUSTRAL evolution mild hybrid 150cv auto Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT;grigio scisto metallizzato;sellerie in misto TEP / tessuto in nero titanio con cuciture argentate e motivi in rilievo;Tinte metallizzate;04/02/2026;NO
40787594;HC969JP;RENAULT;AUSTRAL;RENAULT AUSTRAL evolution mild hybrid 150cv auto Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT;bianco nacrè metallizzato;sellerie in misto TEP / tessuto in nero titanio con cuciture argentate e motivi in rilievo;Tinte metallizzate;28/01/2026;NO
40787626;HC486JN;RENAULT;AUSTRAL;RENAULT AUSTRAL techno mild hybrid 150cv auto Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT;nero etoile metallizzato;sellerie in misto TEP / tessuto in nero titanio con cuciture argentate e motivi in rilievo;Tinte metallizzate;27/01/2026;NO
40788219;;VOLKSWAGEN;GOLF;VOLKSWAGEN GOLF 2.0 TDI SCR 110KW Edition Plus DSG Hatchback 5-door (Euro 6E) ;Diesel;AUT7;Dolphin Grey Metall.;Tessuto Life nero;"Ruota di scorta di dimensioni ridotte da 18""";13/04/2026;NO
40788227;;VOLKSWAGEN;GOLF;VOLKSWAGEN GOLF 2.0 TDI SCR 110KW Edition Plus DSG Hatchback 5-door (Euro 6E) ;Diesel;AUT7;Dolphin Grey Metall.;Tessuto Life nero;"Ruota di scorta di dimensioni ridotte da 18""";13/04/2026;NO
40788244;;VOLKSWAGEN;GOLF;VOLKSWAGEN GOLF 2.0 TDI SCR 110KW Edition Plus DSG Hatchback 5-door (Euro 6E) ;Diesel;AUT7;Grenadill Black Metall.;Tessuto Life nero;"Ruota di scorta di dimensioni ridotte da 18""";31/03/2026;NO
40788250;;VOLKSWAGEN;GOLF;VOLKSWAGEN GOLF 2.0 TDI SCR 110KW Edition Plus DSG Hatchback 5-door (Euro 6E) ;Diesel;AUT7;Grenadill Black Metall.;Tessuto Life nero;"Ruota di scorta di dimensioni ridotte da 18""";31/03/2026;NO
40788671;;CITROËN;C3 AIRCROSS;CITROËN C3 AIRCROSS Turbo 100 cv Manuale PLUS Sport utility vehicle 5-door (Euro 6E) ;Petrol;MAN6;Polar White pastello;Tessuto Nero/Quadric;Kit di riparazione,Polar White pastello;13/07/2026;SI
40788785;;FIAT;DUCATO;FIAT DUCATO 33 L2H2 140CV 2.2 Diesel Manuale Furgone 4-door (Euro 6E) ;Diesel;MAN6;Bianco Ducato pastello;Tessuto Standard Nero Crèpe;"Paratia divisoria con vetro scorrevole,Porta posteriore battente apertura 270°,Radio dispaly 7"" AA/CP + doppia presa USB,Ruota di scorta + Arganello";01/06/2026;ND
