vehicleid;stocktype;licenseplate;chassisnumber;registrationdate;makename;modelname;description;segment;segmento_mercato;segment_description;wltp_co2emission;fuel;alimentazione;alimentazione_fuel_code;transmission;external_color;internal_color;optional;prezzo_accessori;location;location_address;estimateddeliverydate;arrivaldate;comments;rating;showcasecode;showcase;catalogcode;catalog;data_listino;prezzo_listino;catalogfrom;datascadenzaopzione;stato_opzione1;stato_opzione2;neopatentati
40815527;Stock New;;;;PEUGEOT;2008;PEUGEOT 2008 Hybrid 110cv e-DCS6 Style auto Cross over 5-door (Euro 6E) ;CSG;B-Suv;;111;Unleaded - Electric;Altro;Petrol Mild Hybrid;AUT6;Grigio Artense (metallizzato);Tessuto Renzo finiture Rimini con cuciture Orange;Kit di riparazione pneumatici,Vernice metallizzata;754,09;GRUPPO MERCURIO Spa  : Torrile (PR);"Via Romagnoli 25
43056 Torrile
PR Italy";23/07/2026;;;;403240;Stock Open;25A1PP1SYHJGWB02PH2;Active;03/02/2026;24565,57;03/02/2026;30/03/2026;OPZIONATO; ;SI
40815530;Stock New;;;;PEUGEOT;2008;PEUGEOT 2008 Hybrid 110cv e-DCS6 Style auto Cross over 5-door (Euro 6E) ;CSG;B-Suv;;111;Unleaded - Electric;Altro;Petrol Mild Hybrid;AUT6;Grigio Artense (metallizzato);Tessuto Renzo finiture Rimini con cuciture Orange;Kit di riparazione pneumatici,Vernice metallizzata;754,09;GRUPPO MERCURIO Spa  : Torrile (PR);"Via Romagnoli 25
43056 Torrile
PR Italy";23/07/2026;;;;403240;Stock Open;25A1PP1SYHJGWB02PH2;Active;03/02/2026;24565,57;03/02/2026;01/04/2026;OPZIONATO; ;SI
40815546;Stock New;;;;PEUGEOT;2008;PEUGEOT 2008 Hybrid 110cv e-DCS6 Style auto Cross over 5-door (Euro 6E) ;CSG;B-Suv;;111;Unleaded - Electric;Altro;Petrol Mild Hybrid;AUT6;Grigio Artense (metallizzato);Tessuto Renzo finiture Rimini con cuciture Orange;Kit di riparazione pneumatici,Vernice metallizzata;754,09;GRUPPO MERCURIO Spa  : Torrile (PR);"Via Romagnoli 25
43056 Torrile
PR Italy";23/07/2026;;;;403240;Stock Open;25A1PP1SYHJGWB02PH2;Active;03/02/2026;24565,57;03/02/2026;; ; ;SI
40815556;Stock New;;;;PEUGEOT;2008;PEUGEOT 2008 Hybrid 110cv e-DCS6 Style auto Cross over 5-door (Euro 6E) ;CSG;B-Suv;;111;Unleaded - Electric;Altro;Petrol Mild Hybrid;AUT6;Nero Perla (metallizzato);Tessuto Renzo finiture Rimini con cuciture Orange;Kit di riparazione pneumatici,Vernice metallizzata;754,09;GRUPPO MERCURIO Spa  : Torrile (PR);"Via Romagnoli 25
43056 Torrile
PR Italy";23/07/2026;;;;403240;Stock Open;25A1PP1SYHJGWB02PH2;Active;03/02/2026;24565,57;03/02/2026;; ; ;SI
40815589;Stock New;;;;OPEL;FRONTERA;OPEL FRONTERA Hybrid 110cv Edition EDCT Sport utility vehicle 5-door (Euro 6E) ;DSG;B-Suv;Compact - Suv/Cross Over - Generic;118;Unleaded - Electric;Altro;Petrol Mild Hybrid;AUT6;Kristall Silver Metallizzato;Tessuto Comfort Nero;Kit riparazione,Vernici Metallizzata;696,72;GRUPPO MERCURIO Spa  : Torrile (PR);"Via Romagnoli 25
43056 Torrile
PR Italy";20/08/2026;;;;403240;Stock Open;26A1GO3SULJGWL0A0C0;Ad hoc;01/10/2025;20516,39;01/10/2025;; ; ;SI
40815591;Stock New;;;;OPEL;FRONTERA;OPEL FRONTERA Hybrid 110cv Edition EDCT Sport utility vehicle 5-door (Euro 6E) ;DSG;B-Suv;Compact - Suv/Cross Over - Generic;118;Unleaded - Electric;Altro;Petrol Mild Hybrid;AUT6;Kristall Silver Metallizzato;Tessuto Comfort Nero;Kit riparazione,Vernici Metallizzata;696,72;GRUPPO MERCURIO Spa  : Torrile (PR);"Via Romagnoli 25
43056 Torrile
PR Italy";20/08/2026;;;;403240;Stock Open;26A1GO3SULJGWL0A0C0;Ad hoc;01/10/2025;20516,39;01/10/2025;; ; ;SI
40815596;Stock New;;;;OPEL;FRONTERA;OPEL FRONTERA Hybrid 110cv Edition EDCT Sport utility vehicle 5-door (Euro 6E) ;DSG;B-Suv;Compact - Suv/Cross Over - Generic;118;Unleaded - Electric;Altro;Petrol Mild Hybrid;AUT6;Kristall Silver Metallizzato;Tessuto Comfort Nero;Kit riparazione,Vernici Metallizzata;696,72;GRUPPO MERCURIO Spa  : Torrile (PR);"Via Romagnoli 25
43056 Torrile
PR Italy";20/08/2026;;;;403240;Stock Open;26A1GO3SULJGWL0A0C0;Ad hoc;01/10/2025;20516,39;01/10/2025;; ; ;SI
40815614;Stock New;;;;OPEL;FRONTERA;OPEL FRONTERA Hybrid 110cv Edition EDCT Sport utility vehicle 5-door (Euro 6E) ;DSG;B-Suv;Compact - Suv/Cross Over - Generic;118;Unleaded - Electric;Altro;Petrol Mild Hybrid;AUT6;Kristall Silver Metallizzato;Tessuto Comfort Nero;Kit riparazione,Vernici Metallizzata;696,72;GRUPPO MERCURIO Spa  : Torrile (PR);"Via Romagnoli 25
43056 Torrile
PR Italy";20/08/2026;;;;403240;Stock Open;26A1GO3SULJGWL0A0C0;Ad hoc;01/10/2025;20516,39;01/10/2025;; ; ;SI
40815616;Stock New;;;;OPEL;FRONTERA;OPEL FRONTERA Hybrid 110cv Edition EDCT Sport utility vehicle 5-door (Euro 6E) ;DSG;B-Suv;Compact - Suv/Cross Over - Generic;118;Unleaded - Electric;Altro;Petrol Mild Hybrid;AUT6;Kristall Silver Metallizzato;Tessuto Comfort Nero;Kit riparazione,Vernici Metallizzata;696,72;GRUPPO MERCURIO Spa  : Torrile (PR);"Via Romagnoli 25
43056 Torrile
PR Italy";20/08/2026;;;;403240;Stock Open;26A1GO3SULJGWL0A0C0;Ad hoc;01/10/2025;20516,39;01/10/2025;; ; ;SI
40815621;Stock New;;;;OPEL;FRONTERA;OPEL FRONTERA Hybrid 110cv Edition EDCT Sport utility vehicle 5-door (Euro 6E) ;DSG;B-Suv;Compact - Suv/Cross Over - Generic;118;Unleaded - Electric;Altro;Petrol Mild Hybrid;AUT6;Kristall Silver Metallizzato;Tessuto Comfort Nero;Kit riparazione,Vernici Metallizzata;696,72;GRUPPO MERCURIO Spa  : Torrile (PR);"Via Romagnoli 25
43056 Torrile
PR Italy";20/08/2026;;;;403240;Stock Open;26A1GO3SULJGWL0A0C0;Ad hoc;01/10/2025;20516,39;01/10/2025;02/04/2026;OPZIONATO; ;SI
